"app_name_greenball","date","STEAM_MAX_PLAYER_COUNT","daily_connections","EXITLAG_unique_users"
"Helldivers 2","2025-12-01","29542","1444","135"
"Limbus Company","2025-12-01","29433","11","9"
"INAZUMA ELEVEN: Victory Road","2025-12-01","28316","16","5"
"Elden Ring","2025-12-01","27048","454","110"
"PAYDAY 2","2025-12-01","26790","49","4"
"Left 4 Dead 2","2025-12-01","26069","1546","75"
"Total War Warhammer 3","2025-12-01","25935","85","17"
"NBA 2K26","2025-12-01","24842","16653","369"
"Rocket League","2025-12-01","24827","62058","1777"
"Project Zomboid","2025-12-01","23998","157","44"
"ARK: Survival Evolved","2025-12-01","23413","39","11"
"7 Days to Die","2025-12-01","23142","157","24"
"Hunt: Showdown","2025-12-01","22522","41002","265"
"Football Manager 2024","2025-12-01","21708","0","0"
"ARK Survival Ascended","2025-12-01","20819","1311","88"
"Monster Hunter Wilds","2025-12-01","20424","752","63"
"Warhammer: Vermintide 2","2025-12-01","19965","712","43"
"Factorio","2025-12-01","19219","9","8"
"Warhammer 40,000: Space Marine 2","2025-12-01","19180","4067","110"
"Once Human","2025-12-01","19011","3774","170"
"Eternal Return","2025-12-01","18941","6668","408"
"Destiny 2","2025-12-01","18538","7997","141"
"CS: Source","2025-12-01","18252","74","29"
"Final Fantasy XIV","2025-12-01","18093","37871","3464"
"Russian Fishing 4","2025-12-01","17946","23","8"
"Stalcraft: X","2025-12-01","17449","2493","96"
"Black Desert Online","2025-12-01","16974","149652","5181"
"eFootball™ 2026","2025-12-01","16774","53296","331"
"EA SPORTS FC 25","2025-12-01","16564","1463","61"
"IdleOn - The Idle MMO","2025-12-01","16481","24","3"
"Sid Meier's Civilization V","2025-12-01","15981","0","0"
"Phasmophobia","2025-12-01","15723","815","65"
"Stellaris","2025-12-01","14667","0","0"
"Assetto Corsa","2025-12-01","14619","125","20"
"Goose Goose Duck","2025-12-01","14504","28","3"
"Anno 117: Pax Romana","2025-12-01","14182","0","0"
"Schedule I ","2025-12-01","14074","41","3"
"Party Animals","2025-12-01","14064","219","19"
"Split Fiction","2025-12-01","13904","38","5"
"NBA 2K25","2025-12-01","13604","130","7"
"The Planet Crafter","2025-12-01","13427","4","1"
"F1 25","2025-12-01","13250","78","37"
"Wuthering Waves","2025-12-01","13155","5052","1055"
"No Man's Sky","2025-12-01","13108","84","7"
"MIR4","2025-12-01","13104","13216","1426"
"Squad","2025-12-01","13026","43234","75"
"The Finals","2025-12-01","12809","9751","228"
"Unturned","2025-12-01","12254","97","12"
"Ghost Of Tsushima","2025-12-01","11005","28","1"
"RV There Yet?","2025-12-01","10905","173","13"
"Path of Exile 2","2025-12-01","10670","10084","313"
"Fallout 76","2025-12-01","10653","413","38"
"Warhammer 40,000: Darktide","2025-12-01","10643","3910","91"
"World of Tanks","2025-12-01","10490","61332","1337"
"Arma Reforger","2025-12-01","10466","162","54"
"Borderlands 4","2025-12-01","10294","36","9"
"Throne and Liberty Global","2025-12-01","9923","245767","2475"
"Bloons TD 6","2025-12-01","9500","289","6"
"Blue Protocol: Star Resonance","2025-12-01","9282","46632","635"
"Sons of The Forest","2025-12-01","9276","23","11"
"Solo Leveling: ARISE OVERDRIVE","2025-12-01","9076","160","44"
"Tabletop Simulator","2025-12-01","9033","9","7"
"Diablo IV China","2025-12-01","8781","0","0"
"Sid Meier's Civilization VII","2025-12-01","8519","0","0"
"Dying Light","2025-12-01","8273","3","1"
"Dying Light: The Beast","2025-12-01","8245","54","9"
"Monster Hunter Rise","2025-12-01","7966","33","2"
"Raft","2025-12-01","7896","21","7"
"Escape the Backrooms","2025-12-01","7857","21","2"
"The Isle","2025-12-01","7530","206","48"
"Deep Rock Galactic","2025-12-01","7529","90","8"
"Dark Souls III","2025-12-01","7466","74","9"
"Ready or Not","2025-12-01","7436","268","28"
"Fellowship","2025-12-01","7204","6788","263"
"Blue Archive","2025-12-01","7071","330","37"
"Grounded","2025-12-01","7051","7","3"
"The First Descendant","2025-12-01","6918","5354","120"
"Counter-Strike 2","2025-11-30","1492258","220084","14794"
"Dota 2","2025-11-30","905516","87532","5054"
"PUBG","2025-11-30","631135","399798","3844"
"Battlefield™ 6","2025-11-30","244482","226256","6385"
"Apex Legends","2025-11-30","193994","219243","3365"
"Rust","2025-11-30","129988","8292","752"
"Marvel Rivals","2025-11-30","119415","151600","2419"
"Call Of Duty: MWII | MWIII","2025-11-30","83422","29000","377"
"EA SPORTS FC 26","2025-11-30","80099","119277","1424"
"Baldur's Gate 3","2025-11-30","78041","122","21"
"Team Fortress 2","2025-11-30","76644","1330","71"
"Farming Simulator 25","2025-11-30","54807","122","11"
"Dead by Daylight","2025-11-30","53508","164357","2904"
"Don't Starve Together","2025-11-30","51051","344","20"
"R.E.P.O.","2025-11-30","50844","3044","306"
"Rainbow Six Siege","2025-11-30","50324","0","0"
"Path of Exile","2025-11-30","47924","381309","2723"
"Enshrouded","2025-11-30","43730","1900","114"
"PalWorld","2025-11-30","43273","423","43"
"Europa Universalis V","2025-11-30","40331","0","0"
"Overwatch 2","2025-11-30","38797","109852","2947"
"Risk of Rain 2","2025-11-30","37458","466","86"
"Helldivers 2","2025-11-30","35637","3368","156"
"INAZUMA ELEVEN: Victory Road","2025-11-30","35511","75","9"
"Elden Ring","2025-11-30","35164","1357","95"
"Limbus Company","2025-11-30","33795","77","13"
"Total War Warhammer 3","2025-11-30","32061","84","8"
"Left 4 Dead 2","2025-11-30","31999","2867","88"
"7 Days to Die","2025-11-30","31288","427","26"
"Project Zomboid","2025-11-30","30720","522","53"
"Street Fighter VI","2025-11-30","30257","8552","163"
"ARK: Survival Evolved","2025-11-30","29257","107","9"
"Hunt: Showdown","2025-11-30","26745","94102","319"
"NBA 2K26","2025-11-30","26518","35477","368"
"ARK Survival Ascended","2025-11-30","26348","3492","93"
"PAYDAY 2","2025-11-30","26269","42","2"
"Warhammer: Vermintide 2","2025-11-30","26023","2266","61"
"Rocket League","2025-11-30","25725","139029","1978"
"Football Manager 2024","2025-11-30","25350","0","0"
"Factorio","2025-11-30","24550","36","13"
"Monster Hunter Wilds","2025-11-30","24180","1904","70"
"Warhammer 40,000: Space Marine 2","2025-11-30","24172","10326","125"
"Destiny 2","2025-11-30","21107","18328","128"
"Once Human","2025-11-30","20733","7835","167"
"Phasmophobia","2025-11-30","20459","2194","79"
"Russian Fishing 4","2025-11-30","20263","55","9"
"Final Fantasy XIV","2025-11-30","20097","74640","3621"
"EA SPORTS FC 25","2025-11-30","19890","3654","64"
"Sid Meier's Civilization V","2025-11-30","19433","0","0"
"Stellaris","2025-11-30","19255","4","1"
"Anno 117: Pax Romana","2025-11-30","19211","26","5"
"Eternal Return","2025-11-30","19070","15349","450"
"Stalcraft: X","2025-11-30","18620","5740","110"
"CS: Source","2025-11-30","18617","186","31"
"Assetto Corsa","2025-11-30","18198","198","27"
"eFootball™ 2026","2025-11-30","18158","106387","339"
"The Planet Crafter","2025-11-30","18087","84","4"
"Black Desert Online","2025-11-30","17920","397204","5502"
"No Man's Sky","2025-11-30","17747","235","13"
"IdleOn - The Idle MMO","2025-11-30","17401","30","3"
"Schedule I ","2025-11-30","17223","113","9"
"Squad","2025-11-30","17097","106009","87"
"Goose Goose Duck","2025-11-30","16802","154","8"
"Split Fiction","2025-11-30","16512","28","2"
"RV There Yet?","2025-11-30","16070","514","22"
"The Finals","2025-11-30","15333","19917","240"
"F1 25","2025-11-30","15202","167","38"
"Wuthering Waves","2025-11-30","14977","11416","1061"
"Ghost Of Tsushima","2025-11-30","14803","44","1"
"Party Animals","2025-11-30","14788","1401","26"
"NBA 2K25","2025-11-30","14497","170","5"
"Unturned","2025-11-30","13862","263","12"
"Path of Exile 2","2025-11-30","13824","24476","316"
"Arma Reforger","2025-11-30","13776","542","75"
"Borderlands 4","2025-11-30","13722","147","14"
"Sons of The Forest","2025-11-30","13612","103","15"
"Fallout 76","2025-11-30","13273","1044","40"
"MIR4","2025-11-30","13220","22963","1429"
"Warhammer 40,000: Darktide","2025-11-30","13190","9296","103"
"Solo Leveling: ARISE OVERDRIVE","2025-11-30","12839","400","57"
"Dying Light: The Beast","2025-11-30","11991","251","12"
"Diablo IV China","2025-11-30","11597","0","0"
"Throne and Liberty Global","2025-11-30","11524","578352","2670"
"Bloons TD 6","2025-11-30","11502","734","7"
